#timestep    time     time step  time step   maximum   -----time step location----     time step
#  number    (sec)      (sec)    cfl (sec)    error    eq_loc  i_loc  j_loc  k_loc      control
        1  0.000E+00  1.000E-09  2.158E-08  0.000E+00       0      0      0      0   fixed timestep
        2  1.000E-09  1.000E-09  2.165E-08  1.755E-03       0      0      0      0   fixed timestep
        3  2.000E-09  1.000E-09  2.171E-08  4.998E-04       0      0      0      0   fixed timestep
        4  3.000E-09  1.000E-09  2.178E-08  2.760E-04       0      0      0      0   fixed timestep
        5  4.000E-09  1.000E-09  2.184E-08  2.410E-04       0      0      0      0   fixed timestep
        6  5.000E-09  1.000E-09  2.191E-08  1.216E-03       0      0      0      0   fixed timestep
        7  6.000E-09  1.000E-09  2.198E-08  2.250E-04       0      0      0      0   fixed timestep
        8  7.000E-09  1.000E-09  2.204E-08  1.065E-04       0      0      0      0   fixed timestep
        9  8.000E-09  1.000E-09  2.211E-08  1.026E-04       0      0      0      0   fixed timestep
       10  9.000E-09  1.000E-09  2.218E-08  1.009E-04       0      0      0      0   fixed timestep
       20  1.900E-08  1.000E-09  2.375E-08  3.363E-04       0      0      0      0   fixed timestep
       40  3.900E-08  1.000E-09  2.469E-08  1.663E-04       0      0      0      0   fixed timestep
       60  5.900E-08  1.000E-09  2.536E-08  1.325E-02       0      0      0      0   fixed timestep
       80  7.900E-08  1.000E-09  2.584E-08  3.218E-04       0      0      0      0   fixed timestep
      100  9.900E-08  1.000E-09  2.622E-08  8.073E-05       0      0      0      0   fixed timestep
      120  1.190E-07  1.000E-09  2.656E-08  3.383E-04       0      0      0      0   fixed timestep
      140  1.390E-07  1.000E-09  2.684E-08  2.322E-04       0      0      0      0   fixed timestep
      160  1.590E-07  1.000E-09  2.709E-08  5.582E-05       0      0      0      0   fixed timestep
      180  1.790E-07  1.000E-09  2.730E-08  3.839E-04       0      0      0      0   fixed timestep
      200  1.990E-07  1.000E-09  2.750E-08  4.480E-04       0      0      0      0   fixed timestep
      220  2.190E-07  1.000E-09  2.768E-08  1.093E-03       0      0      0      0   fixed timestep
      240  2.390E-07  1.000E-09  2.783E-08  1.618E-05       0      0      0      0   fixed timestep
      260  2.590E-07  1.000E-09  2.797E-08  2.040E-04       0      0      0      0   fixed timestep
      280  2.790E-07  1.000E-09  2.809E-08  1.576E-04       0      0      0      0   fixed timestep
      300  2.990E-07  1.000E-09  2.820E-08  2.915E-05       0      0      0      0   fixed timestep
      320  3.190E-07  1.000E-09  2.831E-08  7.022E-05       0      0      0      0   fixed timestep
      340  3.390E-07  1.000E-09  2.840E-08  5.667E-04       0      0      0      0   fixed timestep
      360  3.590E-07  1.000E-09  2.848E-08  2.430E-05       0      0      0      0   fixed timestep
      380  3.790E-07  1.000E-09  2.856E-08  1.144E-04       0      0      0      0   fixed timestep
      400  3.990E-07  1.000E-09  2.864E-08  2.135E-05       0      0      0      0   fixed timestep
      420  4.190E-07  1.000E-09  2.871E-08  4.776E-05       0      0      0      0   fixed timestep
      440  4.390E-07  1.000E-09  2.878E-08  7.096E-05       0      0      0      0   fixed timestep
      460  4.590E-07  1.000E-09  2.884E-08  3.248E-05       0      0      0      0   fixed timestep
      480  4.790E-07  1.000E-09  2.890E-08  2.441E-04       0      0      0      0   fixed timestep
      500  4.990E-07  1.000E-09  2.896E-08  8.608E-06       0      0      0      0   fixed timestep
      520  5.190E-07  1.000E-09  2.901E-08  2.479E-04       0      0      0      0   fixed timestep
      540  5.390E-07  1.000E-09  2.906E-08  1.041E-05       0      0      0      0   fixed timestep
      560  5.590E-07  1.000E-09  2.911E-08  1.473E-05       0      0      0      0   fixed timestep
      580  5.790E-07  1.000E-09  2.916E-08  5.575E-05       0      0      0      0   fixed timestep
      600  5.990E-07  1.000E-09  2.920E-08  6.201E-05       0      0      0      0   fixed timestep
      620  6.190E-07  1.000E-09  2.924E-08  3.430E-05       0      0      0      0   fixed timestep
      640  6.390E-07  1.000E-09  2.928E-08  2.062E-05       0      0      0      0   fixed timestep
      660  6.590E-07  1.000E-09  2.932E-08  1.359E-05       0      0      0      0   fixed timestep
      680  6.790E-07  1.000E-09  2.935E-08  7.023E-06       0      0      0      0   fixed timestep
      700  6.990E-07  1.000E-09  2.938E-08  1.269E-05       0      0      0      0   fixed timestep
      720  7.190E-07  1.000E-09  2.941E-08  4.785E-05       0      0      0      0   fixed timestep
      740  7.390E-07  1.000E-09  2.944E-08  1.062E-04       0      0      0      0   fixed timestep
      760  7.590E-07  1.000E-09  2.947E-08  4.754E-06       0      0      0      0   fixed timestep
      780  7.790E-07  1.000E-09  2.949E-08  1.125E-05       0      0      0      0   fixed timestep
      800  7.990E-07  1.000E-09  2.952E-08  2.174E-05       0      0      0      0   fixed timestep
      820  8.190E-07  1.000E-09  2.954E-08  1.044E-04       0      0      0      0   fixed timestep
