# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
           1  1.000E-009  -1.862E+001   0.000E+000   0.000E+000   1.248E-004   8.008E+002   9.938E-001   2.893E+002  -2.768E-018   0.000E+000   9.346E-003   1.854E-001  -4.477E-015  -4.477E-015  -1.454E-016  -4.670E-015  -4.670E-015  -8.019E-016   1.948E-001  -4.477E-015  -4.477E-015   6.104E-001
           2  2.000E-009  -7.359E+001   0.000E+000   0.000E+000   1.249E-004   8.017E+002   9.878E-001   2.893E+002  -3.875E-017   0.000E+000   9.346E-003   1.854E-001  -4.477E-015  -4.670E-015  -2.055E-015  -4.670E-015  -4.670E-015  -4.287E-015   1.948E-001  -4.477E-015  -4.670E-015   6.104E-001
           3  3.000E-009  -1.632E+002   0.000E+000   0.000E+000   1.249E-004   8.025E+002   9.820E-001   2.893E+002  -1.107E-017   0.000E+000   9.346E-003   1.854E-001  -4.670E-015  -4.670E-015  -4.287E-015  -4.670E-015  -4.670E-015  -4.477E-015   1.948E-001  -4.477E-015  -4.670E-015   6.104E-001
           4  4.000E-009  -2.854E+002   0.000E+000   0.000E+000   1.250E-004   8.033E+002   9.766E-001   2.893E+002  -1.329E-016   0.000E+000   9.346E-003   1.854E-001  -4.669E-015  -4.669E-015  -4.476E-015  -4.669E-015  -4.669E-015  -4.476E-015   1.948E-001  -4.476E-015  -4.669E-015   6.104E-001
           5  5.000E-009  -4.376E+002   0.000E+000   0.000E+000   1.251E-004   8.041E+002   9.716E-001   2.893E+002   5.758E-016   0.000E+000   9.346E-003   1.854E-001  -4.669E-015  -4.669E-015  -4.475E-015  -4.669E-015  -4.669E-015  -4.475E-015   1.948E-001  -4.669E-015  -4.669E-015   6.104E-001
           6  6.000E-009  -6.169E+002   0.000E+000   0.000E+000   1.253E-004   8.049E+002   9.670E-001   2.893E+002   1.107E-015   0.000E+000   9.346E-003   1.854E-001  -4.667E-015  -4.667E-015  -4.474E-015  -4.667E-015  -4.667E-015  -4.474E-015   1.948E-001  -4.667E-015  -4.667E-015   6.104E-001
           7  7.000E-009  -8.200E+002   0.000E+000   0.000E+000   1.256E-004   8.056E+002   9.629E-001   2.893E+002   1.949E-015   0.000E+000   9.346E-003   1.854E-001  -4.666E-015  -4.666E-015  -4.666E-015  -4.666E-015  -4.666E-015  -4.472E-015   1.948E-001  -4.666E-015  -4.666E-015   6.104E-001
           8  8.000E-009  -1.043E+003   0.000E+000   0.000E+000   1.259E-004   8.064E+002   9.594E-001   2.893E+002   1.240E-015   0.000E+000   9.346E-003   1.854E-001  -4.663E-015  -4.663E-015  -4.663E-015  -4.663E-015  -4.663E-015  -4.470E-015   1.948E-001  -4.663E-015  -4.663E-015   6.104E-001
           9  9.000E-009  -1.283E+003   0.000E+000   0.000E+000   1.264E-004   8.071E+002   9.565E-001   2.893E+002   9.744E-016   0.000E+000   9.346E-003   1.854E-001  -4.661E-015  -4.661E-015  -4.661E-015  -4.661E-015  -4.661E-015  -4.661E-015   1.948E-001  -4.661E-015  -4.661E-015   6.104E-001
          10  1.000E-008  -1.384E+003   0.000E+000   0.000E+000   1.404E-004   8.067E+002   9.616E-001   2.893E+002  -1.240E-015   0.000E+000   9.346E-003   1.854E-001  -4.721E-015  -4.721E-015  -4.721E-015  -4.721E-015  -4.721E-015  -4.721E-015   1.948E-001  -4.721E-015  -4.721E-015   6.104E-001
         100  1.000E-007  -7.064E+002   0.000E+000   0.000E+000   1.891E-004   8.487E+002   9.910E-001   2.893E+002   2.516E-014   0.000E+000   9.346E-003   1.854E-001  -4.052E-015  -4.172E-015  -4.300E-015   4.157E-014  -4.332E-015  -4.422E-015   1.948E-001  -4.392E-015  -4.194E-015   6.104E-001
         200  2.000E-007  -4.834E+002   0.000E+000   0.000E+000   2.073E-004   8.792E+002   9.939E-001   2.893E+002   1.603E-014   0.000E+000   9.346E-003   1.854E-001   6.090E-013  -4.037E-015  -4.178E-015   1.678E-013  -4.178E-015  -4.291E-015   1.948E-001  -4.194E-015  -4.178E-015   6.104E-001
         300  3.000E-007  -3.835E+002   0.000E+000   0.000E+000   2.178E-004   9.015E+002   9.957E-001   2.893E+002   6.467E-015   0.000E+000   9.346E-003   1.854E-001   4.458E-012   2.606E-013  -4.118E-015   3.317E-013  -4.118E-015  -4.229E-015   1.948E-001   4.509E-013   1.069E-015   6.104E-001
         400  4.000E-007  -3.483E+002   0.000E+000   0.000E+000   2.250E-004   9.188E+002   9.968E-001   2.893E+002   8.858E-015   0.000E+000   9.346E-003   1.854E-001   7.415E-012   6.138E-013   1.754E-013   5.329E-013   2.348E-012  -4.189E-015   1.948E-001   6.044E-012   1.857E-015   6.104E-001
         500  5.000E-007  -3.114E+002   0.000E+000   0.000E+000   2.303E-004   9.327E+002   9.976E-001   2.893E+002  -1.028E-014   0.000E+000   9.346E-003   1.854E-001   1.140E-011   1.080E-012   4.432E-013   7.887E-013   4.610E-012  -2.971E-015   1.948E-001   1.530E-011   2.923E-015   6.104E-001
         600  6.000E-007  -2.816E+002   0.000E+000   0.000E+000   2.343E-004   9.443E+002   9.979E-001   2.893E+002  -1.612E-014   0.000E+000   9.346E-003   1.854E-001   1.509E-011   1.618E-012   8.161E-013   1.095E-012   7.078E-012  -3.479E-015   1.948E-001   2.490E-011   4.250E-015   6.104E-001
         700  7.000E-007  -2.525E+002   0.000E+000   0.000E+000   2.371E-004   9.541E+002   9.977E-001   2.893E+002  -6.909E-015   0.000E+000   9.346E-003   1.854E-001   1.918E-011   2.273E-012   1.385E-012   1.451E-012   8.880E-012   3.367E-016   1.948E-001   3.284E-011   5.823E-015   6.104E-001
         800  8.000E-007  -2.501E+002   0.000E+000   0.000E+000   2.394E-004   9.625E+002   9.986E-001   2.893E+002  -7.441E-015   0.000E+000   9.346E-003   1.854E-001   2.267E-011   2.982E-012   2.150E-012   1.854E-012   1.120E-011   5.663E-016   1.948E-001   4.276E-011   7.617E-015   6.104E-001
         900  9.000E-007  -2.240E+002   0.000E+000   0.000E+000   2.414E-004   9.699E+002   9.988E-001   2.893E+002  -1.169E-014   0.000E+000   9.346E-003   1.854E-001   2.644E-011   3.754E-012   3.146E-012   2.305E-012   1.399E-011   8.173E-016   1.948E-001   5.427E-011   9.567E-015   6.104E-001
        1000  1.000E-006  -2.123E+002   0.000E+000   0.000E+000   2.432E-004   9.751E+002   9.988E-001   2.893E+002  -8.858E-015   0.000E+000   9.346E-003   1.854E-001   3.042E-011   4.606E-012   4.430E-012   2.803E-012   1.725E-011   1.157E-015   1.948E-001   6.559E-011   1.174E-014   6.104E-001
        1100  1.100E-006  -1.993E+002   0.000E+000   0.000E+000   2.447E-004   9.796E+002   9.988E-001   2.893E+002  -4.252E-015   0.000E+000   9.346E-003   1.854E-001   3.455E-011   5.525E-012   6.021E-012   3.345E-012   2.093E-011   1.549E-015   1.948E-001   7.793E-011   1.414E-014   6.104E-001
        1200  1.200E-006  -1.852E+002   0.000E+000   0.000E+000   2.461E-004   9.837E+002   9.991E-001   2.893E+002  -1.772E-015   0.000E+000   9.346E-003   1.854E-001   3.880E-011   6.502E-012   7.881E-012   3.922E-012   2.502E-011   2.039E-015   1.948E-001   9.145E-011   1.676E-014   6.104E-001
        1300  1.300E-006  -1.957E+002   0.000E+000   0.000E+000   2.474E-004   9.875E+002   9.991E-001   2.893E+002   2.835E-015   0.000E+000   9.346E-003   1.854E-001   4.314E-011   7.530E-012   9.916E-012   4.543E-012   2.950E-011   2.633E-015   1.948E-001   1.034E-010   1.959E-014   6.104E-001
        1400  1.400E-006  -1.565E+002   0.000E+000   0.000E+000   2.487E-004   9.914E+002   9.991E-001   2.893E+002   9.213E-015   0.000E+000   9.346E-003   1.854E-001   4.755E-011   8.605E-012   1.229E-011   5.189E-012   3.435E-011   3.240E-015   1.948E-001   1.158E-010   2.264E-014   6.104E-001
        1500  1.500E-006  -1.508E+002   0.000E+000   0.000E+000   2.498E-004   9.952E+002   9.996E-001   2.893E+002   3.543E-015   0.000E+000   9.346E-003   1.854E-001   5.203E-011   9.728E-012   1.499E-011   5.863E-012   3.853E-011   3.887E-015   1.948E-001   1.290E-010   2.587E-014   6.104E-001
        1600  1.600E-006  -1.588E+002   0.000E+000   0.000E+000   2.507E-004   9.975E+002   9.996E-001   2.893E+002   8.858E-016   0.000E+000   9.346E-003   1.854E-001   5.656E-011   1.090E-011   1.804E-011   6.575E-012   4.303E-011   4.631E-015   1.948E-001   1.431E-010   2.926E-014   6.104E-001
